Art,Name,Type,Archetype,Rarity,Requirements,Ammo,Element,Tier,Excels,Source,Craftable?,Requires,Released,Slot,Ammo?,Element?,Can be Crafted?,Best of?,Rank
,Hammerhead,Machine Gun,Adaptive,Legendary,Free-to-Play, Heavy, Void,S > Best,PvE + PvP,Onslaught Activity, No, Free-to-Play,Into the Light,Heavy,Heavy,Void,No,Top-tier,S › Best
,Hand in Hand,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Arc,C > Weak,-,Lost Sector, No, Free-to-Play,Season 20,Energy,Special,Arc,No,,C › Weak
,Hard Light,Auto Rifle,Exotic,Exotic,Free-to-Play, Primary, Void,B > Average,-,Exotic Engram, No, Free-to-Play,Season 1,Energy,Primary,Void,No,,B › Average
,Harsh Language,Grenade Launcher,Wave,Legendary,Free-to-Play, Special, Void,A > Strong,PvE,Lost Sector, No, Free-to-Play,Season 20,Energy,Special,Void,No,Top-tier,A › Strong
,Hawkmoon,Hand Cannon,Exotic,Exotic,Beyond Light Pack, Primary, Kinetic,A > Strong,PvP,Xûr, No, Beyond Light Pack,Season 12,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Heartshadow,Sword,Exotic,Exotic,Witch Queen Dungeon Key, Heavy, Void,D > Worst,-,Duality Dungeon, No, Episode 3: Heretic,Season 17,Heavy,Heavy,Void,No,,D › Worst
,Heir Apparent,Machine Gun,Exotic,Exotic,Free-to-Play, Heavy, Arc,D > Worst,-,Event: Guardian Games, No, Free-to-Play,Season 10,Heavy,Heavy,Arc,No,,D › Worst
,Heliocentric QSc,Sidearm,Lightweight,Legendary,Free-to-Play, Primary, Solar,S > Best,PvE + PvP,Lost Sector, No, Free-to-Play,Season 22,Energy,Primary,Solar,No,Top-tier,S › Best
,Heretic,Rocket Launcher,Aggressive,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,Moon, No, Free-to-Play,Season 13,Heavy,Heavy,Arc,No,,D › Worst
,Heretic's Fervor,Rocket Launcher,Aggressive,Legendary,Episode 2: Revenant, Heavy, Stasis,C > Weak,-,Revenant Activities, No, Episode 2: Revenant,Episode 2,Heavy,Heavy,Stasis,No,,C › Weak
,Heritage,Shotgun,Pinpoint Slug,Legendary,Beyond Light Pack, Special, Kinetic,A > Strong,PvE + PvP,Deep Stone Crypt Raid, Yes, Beyond Light Pack,Season 12,Kinetic,Special,Kinetic,Craftable,Top-tier,A › Strong
,Hero of Ages,Sword,Vortex,Legendary,30th Anniversary, Heavy, Arc,D > Worst,PvE,Grasp of Avarice Dungeon, No, 30th Anniversary,30th Anniversary event,Heavy,Heavy,Arc,No,,D › Worst
,Herod-C,Auto Rifle,High-Impact,Legendary,Free-to-Play, Primary, Stasis,C > Weak,-,Playlist: Gambit, No, Free-to-Play,Season 16,Kinetic,Primary,Stasis,No,,C › Weak
,Hezen Vengeance,Rocket Launcher,Aggressive,Legendary,Free-to-Play, Heavy, Solar,S > Best,PvE + PvP,Vault of Glass Raid, Yes, Free-to-Play,Episode 3,Heavy,Heavy,Solar,Craftable,Top-tier,S › Best
,Hierarchy of Needs,Combat Bow,Exotic,Exotic,Free-to-Play, Primary, Solar,C > Weak,-,Spire of the Watcher Dungeon, No, Free-to-Play,Season 19,Energy,Primary,Solar,No,,C › Weak
,High Albedo,Sidearm,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Europa, No, Free-to-Play,Season 12,Kinetic,Primary,Kinetic,No,,C › Weak
,Hollow Denial,Trace Rifle,Adaptive,Legendary,Beyond Light Pack, Special, Void,C > Weak,-,Presage, Yes, Beyond Light Pack,Season 17,Energy,Special,Void,Craftable,,C › Weak
,Hollow Words,Fusion Rifle,Precision,Legendary,Free-to-Play, Special, Arc,C > Weak,-,Arrivals Engrams, No, Free-to-Play,Episode 3,Energy,Special,Arc,No,,C › Weak
,Honor's Edge,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Arc,B > Average,-,Xûr, No, Free-to-Play,Season 10,Heavy,Heavy,Arc,No,,B › Average
,Hoosegow,Rocket Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,World loot pool, No, Free-to-Play,Season 11,Heavy,Heavy,Arc,No,,D › Worst
,Horror Story,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Stasis,B > Average,PvE + PvP,Event: Festival of the Lost, No, Free-to-Play,Episode 2,Kinetic,Primary,Stasis,No,,B › Average
,Horror's Least,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Arc,S > Best,PvP,Nightfall: The Ordeals, No, Free-to-Play,Season 17,Energy,Primary,Arc,No,Top-tier,S › Best
,Hullabaloo,Grenade Launcher,Wave,Legendary,Free-to-Play, Heavy, Arc,B > Average,PvE,Event: Guardian Games, No, Free-to-Play,Season 23,Heavy,Heavy,Arc,No,,B › Average
,Hung Jury SR4,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvE,Onslaught Activity, No, Free-to-Play,Into the Light,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Hush,Combat Bow,Precision,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvP,Playlist: Gambit, No, Free-to-Play,The Final Shape,Energy,Primary,Solar,No,Top-tier,A › Strong
,IKELOS_HC_v1.0.3,Hand Cannon,Precision,Legendary,The Witch Queen, Primary, Void,C > Weak,-,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Energy,Primary,Void,Craftable,,C › Weak
,IKELOS_SG_v1.0.3,Shotgun,Rapid-Fire,Legendary,The Witch Queen, Special, Solar,S > Best,PvE,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Energy,Special,Solar,Craftable,Top-tier,S › Best
,IKELOS_SMG_v1.0.3,Submachine Gun,Aggressive,Legendary,The Witch Queen, Primary, Arc,S > Best,PvE + PvP,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Energy,Primary,Arc,Craftable,Top-tier,S › Best
,IKELOS_SR_v1.0.3,Sniper Rifle,Rapid-Fire,Legendary,The Witch Queen, Special, Solar,A > Strong,PvE,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Energy,Special,Solar,Craftable,Top-tier,A › Strong
,Ice Breaker,Sniper Rifle,Exotic,Exotic,The Final Shape Dungeon Key, Special, Solar,A > Strong,PvE + PvP,Vesper's Host Dungeon, No, The Final Shape Dungeon Key,Episode 2,Energy,Special,Solar,No,Top-tier,A › Strong
,Igneous Hammer,Hand Cannon,Aggressive,Legendary,The Final Shape, Primary, Solar,A > Strong,PvP,Trials of Osiris, No, The Final Shape,Season 13,Energy,Primary,Solar,No,Top-tier,A › Strong
,Ignition Code,Grenade Launcher,Lightweight,Legendary,Episode 2: Revenant, Special, Kinetic,B > Average,PvE,Splicer Engrams, No, Episode 2: Revenant,Episode 2,Kinetic,Special,Kinetic,No,,B › Average
,Ill Omen,Sword,Caster,Legendary,Episode 1: Echoes, Heavy, Stasis,A > Strong,PvE,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Heavy,Heavy,Stasis,Craftable,Top-tier,A › Strong
,Imminence,Submachine Gun,Lightweight,Legendary,The Final Shape, Primary, Strand,A > Strong,PvP,Salvation's Edge Raid, Yes, The Final Shape,The Final Shape,Kinetic,Primary,Strand,Craftable,Top-tier,A › Strong
,Imperative,Scout Rifle,High-Impact,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Undying, Yes, Free-to-Play,Season 23,Kinetic,Primary,Kinetic,Craftable,,C › Weak
,Imperial Decree,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Kinetic,A > Strong,PvE + PvP,Engram Focusing, Yes, Free-to-Play,Season 20,Kinetic,Special,Kinetic,Craftable,Top-tier,A › Strong
,Imperial Needle,Combat Bow,Lightweight,Legendary,Free-to-Play, Primary, Void,B > Average,-,World loot pool, No, Free-to-Play,Season 13,Energy,Primary,Void,No,,B › Average
,Incisor,Trace Rifle,Adaptive,Legendary,The Final Shape, Special, Strand,A > Strong,PvE,Trials of Osiris, No, The Final Shape,Season 23,Energy,Special,Strand,No,Top-tier,A › Strong
,Indebted Kindness,Sidearm,Rocket-Assisted,Legendary,Lightfall Dungeon Key, Special, Arc,A > Strong,PvE,Warlord's Ruin Dungeon, No, Lightfall Dungeon Key,Season 23,Energy,Special,Arc,No,Top-tier,A › Strong
,Insidious,Pulse Rifle,Aggressive Burst,Legendary,The Witch Queen, Primary, Arc,A > Strong,PvE + PvP,Vow of the Disciple Raid, Yes, Witch Queen,Season 16,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Insurmountable,Sidearm,Precision,Legendary,Episode 2: Revenant, Primary, Void,A > Strong,PvE + PvP,Revenant Activities, No, Episode 2: Revenant,Episode 2,Energy,Primary,Void,No,Top-tier,A › Strong
,Interference VI,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Arc,B > Average,-,World loot pool, No, Free-to-Play,Season 10,Heavy,Heavy,Arc,No,,B › Average
,Iota Draconis,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Xûr, No, Free-to-Play,Season 15,Energy,Special,Solar,No,,C › Weak
,Irukandji,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Stasis,C > Weak,-,Lost Sector, No, Free-to-Play,Season 20,Kinetic,Special,Stasis,No,,C › Weak
,Iterative Loop,Fusion Rifle,Rapid-Fire,Legendary,Lightfall, Special, Arc,A > Strong,PvE + PvP,Neomuna, Yes, Lightfall,Season 20,Energy,Special,Arc,Craftable,Top-tier,A › Strong
,Izanagi's Burden,Sniper Rifle,Exotic,Exotic,Forsaken Pack, Special, Kinetic,B > Average,PvE,Exotic Kiosk, No, Forsaken Pack,Season 5,Kinetic,Special,Kinetic,No,,B › Average
,Jararaca-3sr,Scout Rifle,VEIST Rapid-Fire,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvP,Gunsmith, No, Free-to-Play,Season 19,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Jian 7 Rifle,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Arc,D > Worst,-,World loot pool, No, Free-to-Play,Season 10,Energy,Primary,Arc,No,,D › Worst
,Jorum's Claw,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Solar,B > Average,PvP,Iron Banner, No, Free-to-Play,Season 20,Energy,Primary,Solar,No,,B › Average
,Joxer's Longsword,Pulse Rifle,,Legendary,Free-to-Play, Primary, Void,S > Best,PvE + PvP,Playlist: Crucible, No, Free-to-Play,Episode 3,Energy,Primary,Void,No,Top-tier,S › Best
,Judgment,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvP,Prophecy Dungeon, No, Free-to-Play,Season 23,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Judgment of Kelgorath,Glaive,Aggressive,Legendary,The Witch Queen, Special, Solar,S > Best,PvE,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Energy,Special,Solar,Craftable,Top-tier,S › Best
,Jurassic Green,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvP,Event: Festival of the Lost, No, Free-to-Play,Episode 2,Energy,Primary,Solar,No,Top-tier,A › Strong
,Just in Case,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Solar,C > Weak,-,Fishing, No, Free-to-Play,Season 21,Heavy,Heavy,Solar,No,,C › Weak
,Jötunn,Fusion Rifle,Exotic,Exotic,Forsaken Pack, Special, Solar,C > Weak,-,Exotic Kiosk, No, Forsaken Pack,Season 5,Energy,Special,Solar,No,,C › Weak
,Keen Thistle,Sniper Rifle,Aggressive,Legendary,The Final Shape, Special, Solar,S > Best,PvE + PvP,Trials of Osiris, No, The Final Shape,Episode 3,Energy,Special,Solar,No,Top-tier,S › Best
,Kept Confidence,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Strand,B > Average,PvP,Xûr, Yes, Free-to-Play,Season 22,Kinetic,Primary,Strand,Craftable,,B › Average
,Keraunios,Trace Rifle,Adaptive,Legendary,Free-to-Play, Special, Arc,A > Strong,PvE,Event: Guardian Games, No, Free-to-Play,Episode 3,Energy,Special,Arc,No,Top-tier,A › Strong
,Khvostov 7G-02,Auto Rifle,Adaptive,Legendary,The Final Shape, Primary, Kinetic,B > Average,PvE,The Pale Heart, No, The Final Shape,The Final Shape,Kinetic,Primary,Kinetic,No,,B › Average
,Khvostov 7G-0X,Auto Rifle,Exotic,Exotic,The Final Shape, Primary, Kinetic,S > Best,PvE + PvP,The Pale Heart, No, The Final Shape,The Final Shape,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Koraxis's Distress,Grenade Launcher,Rapid-Fire,Legendary,Lightfall, Heavy, Strand,B > Average,-,Root of Nightmares Raid, Yes, Lightfall,Season 20,Heavy,Heavy,Strand,Craftable,,B › Average
,Krait,Auto Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Stasis,B > Average,PvE,Gunsmith, No, Free-to-Play,Season 16,Kinetic,Primary,Stasis,No,,B › Average
,Laser Painter,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Strand,C > Weak,-,Playlist: Gambit, No, Free-to-Play,Season 21,Heavy,Heavy,Strand,No,,C › Weak
,Laser Painter,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Strand,C > Weak,-,Playlist: Gambit, No, Free-to-Play,Season 21,Heavy,Heavy,Strand,No,,C › Weak
,Last Dance,Sidearm,Omolon Adaptive,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Energy,Primary,Arc,No,,C › Weak
,Last Foray,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Lost Sector, No, Free-to-Play,Season 21,Energy,Special,Solar,No,,C › Weak
,Last Man Standing,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Solar,D > Worst,-,Fishing, No, Free-to-Play,Season 21,Energy,Special,Solar,No,,D › Worst
,Last Perdition,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Void,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Energy,Primary,Void,No,,C › Weak
,Last Rite,Scout Rifle,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvP,Playlist: Pursuit, No, Free-to-Play,Season 21,Kinetic,Primary,Kinetic,No,,B › Average
,Le Monarque,Combat Bow,Exotic,Exotic,Forsaken Pack, Primary, Void,S > Best,PvE + PvP,Exotic Kiosk, No, Forsaken Pack,Season 5,Energy,Primary,Void,No,Top-tier,S › Best
,Legal Action II,Pulse Rifle,High-Impact,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvP,Xûr, No, Free-to-Play,Season 15,Kinetic,Primary,Kinetic,No,,B › Average
,Legato-11,Shotgun,Pinpoint Slug,Legendary,Free-to-Play, Special, Solar,B > Average,PvE + PvP,World loot pool, No, Free-to-Play,Episode 2,Energy,Special,Solar,No,,B › Average
,Legend of Acrius,Shotgun,Exotic,Exotic,Free-to-Play, Heavy, Arc,A > Strong,PvE,Exotic Kiosk, No, Free-to-Play,Season 1,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Lethal Abundance,Auto Rifle,High-Impact,Legendary,Free-to-Play, Primary, Strand,C > Weak,-,Iron Banner, No, Free-to-Play,Season 23,Kinetic,Primary,Strand,No,,C › Weak
,Lethophobia,Combat Bow,Lightweight,Legendary,Lightfall, Primary, Void,A > Strong,PvE + PvP,Starcrossed, Yes, Lightfall,Season 23,Energy,Primary,Void,Craftable,Top-tier,A › Strong
,Leviathan's Breath,Combat Bow,Exotic,Exotic,Shadowkeep Pack, Heavy, Void,A > Strong,PvE,Exotic Kiosk, No, Shadowkeep Pack,Season 8,Heavy,Heavy,Void,No,Top-tier,A › Strong
,Likely Suspect,Fusion Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Void,B > Average,PvE + PvP,Throne World, Yes, Free-to-Play,Season 16,Energy,Special,Void,Craftable,,B › Average
,Liminal Vigil,Sidearm,Heavy Burst,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvP,Spire of the Watcher Dungeon, No, Free-to-Play,Season 19,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Line in the Sand,Linear Fusion Rifle,Precision,Legendary,Episode 1: Echoes, Heavy, Arc,B > Average,-,Dawn Engrams, No, Episode 1: Echoes,The Final Shape,Heavy,Heavy,Arc,No,,B › Average
,Line in the Sand,Linear Fusion Rifle,Precision,Legendary,Episode 1: Echoes, Heavy, Arc,B > Average,-,Dawn Engrams, No, Episode 1: Echoes,The Final Shape,Heavy,Heavy,Arc,No,,B › Average
,Lingering Dread,Grenade Launcher,Lightweight,Legendary,Witch Queen Dungeon Key, Special, Stasis,A > Strong,PvE + PvP,Duality Dungeon, No, Episode 3: Heretic,Season 17,Kinetic,Special,Stasis,No,Top-tier,A › Strong
,Liturgy,Grenade Launcher,Double Fire,Legendary,Episode 2: Revenant, Special, Stasis,S > Best,PvE,Revenant Activities, No, Episode 2: Revenant,Episode 2,Kinetic,Special,Stasis,No,Top-tier,S › Best
,Live Fire,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Stasis,C > Weak,-,World loot pool, No, Free-to-Play,Episode 2,Kinetic,Primary,Stasis,No,,C › Weak
,Loaded Question,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Arc,B > Average,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 21,Energy,Special,Arc,No,,B › Average
,Locus Locutus,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Primary, Stasis,B > Average,PvE,Xûr, Yes, Free-to-Play,Season 22,Kinetic,Primary,Stasis,Craftable,,B › Average
,Lodbrok-C,Auto Rifle,High-Impact,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE + PvP,Gunsmith, No, Free-to-Play,Season 19,Kinetic,Primary,Kinetic,No,,B › Average
,Lodestar,Trace Rifle,Exotic,Exotic,Free-to-Play, Special, Arc,A > Strong,PvE,Season Pass, No, Free-to-Play,Episode 3,Energy,Special,Arc,No,Top-tier,A › Strong
,Lonesome,Sidearm,Precision,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Kinetic,Primary,Kinetic,No,,C › Weak
,Long Arm,Scout Rifle,Aggressive,Legendary,Free-to-Play, Primary, Arc,B > Average,PvP,Spire of the Watcher Dungeon, No, Free-to-Play,Season 19,Energy,Primary,Arc,No,,B › Average
,Long Shadow,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Kinetic,Special,Kinetic,No,,C › Weak
,Lord of Wolves,Shotgun,Exotic,Exotic,Free-to-Play, Special, Solar,A > Strong,PvE,Exotic Engram, No, Free-to-Play,Season 4,Energy,Special,Solar,No,Top-tier,A › Strong
,Lorentz Driver,Linear Fusion Rifle,Exotic,Exotic,Beyond Light Pack, Special, Void,C > Weak,-,Exotic Kiosk, No, Beyond Light Pack,Season 15,Energy,Special,Void,No,,C › Weak
,Lorentz Driver,Linear Fusion Rifle,Exotic,Exotic,Beyond Light Pack, Special, Void,C > Weak,-,Exotic Kiosk, No, Beyond Light Pack,Season 15,Energy,Special,Void,No,,C › Weak
,Lost Signal,Grenade Launcher,Area Denial,Legendary,Episode 1: Echoes, Special, Stasis,A > Strong,PvE,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Kinetic,Special,Stasis,Craftable,Top-tier,A › Strong
,Lotus-Eater,Sidearm,Rocket-Assisted,Legendary,Free-to-Play, Special, Void,S > Best,PvE,Nightfall: The Ordeals, No, Free-to-Play,Episode 3,Energy,Special,Void,No,Top-tier,S › Best
,Loud Lullaby,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Moon, No, Free-to-Play,Season 14,Kinetic,Primary,Kinetic,No,,C › Weak
,Love and Death,Grenade Launcher,Rapid-Fire,Legendary,Free-to-Play, Heavy, Solar,C > Weak,-,Moon, No, Free-to-Play,Season 14,Heavy,Heavy,Solar,No,,C › Weak
,Lubrae's Ruin,Glaive,Adaptive,Legendary,The Witch Queen, Special, Solar,D > Worst,-,Vow of the Disciple Raid, Yes, Witch Queen,Season 16,Energy,Special,Solar,Craftable,,D › Worst
,Lumina,Hand Cannon,Exotic,Exotic,Forsaken Pack, Primary, Kinetic,B > Average,PvE + PvP,Exotic Kiosk, No, Forsaken Pack,Season 7,Kinetic,Primary,Kinetic,No,,B › Average
,Luna Regolith III,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Solar,B > Average,PvE + PvP,Playlist: Vanguard, No, Free-to-Play,Season 22,Energy,Special,Solar,No,,B › Average
,Luna's Howl,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvP,Onslaught Activity, No, Free-to-Play,Into the Light,Energy,Primary,Solar,No,Top-tier,A › Strong
,Lunulata-4b,Combat Bow,Lightweight,Legendary,Free-to-Play, Primary, Stasis,C > Weak,-,Gunsmith, No, Free-to-Play,Season 17,Kinetic,Primary,Stasis,No,,C › Weak
,MIDA Mini-Tool,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Solar,D > Worst,-,Gunsmith, No, Free-to-Play,Season 12,Energy,Primary,Solar,No,,D › Worst
,MIDA Multi-Tool,Scout Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,B > Average,PvP,Exotic Kiosk, No, Free-to-Play,Season 1,Kinetic,Primary,Kinetic,No,,B › Average
,Maahes HC4,Hand Cannon,Heavy Burst,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE,World loot pool, No, Free-to-Play,The Final Shape,Energy,Primary,Void,No,Top-tier,A › Strong
,Main Ingredient,Fusion Rifle,Precision,Legendary,Free-to-Play, Special, Arc,A > Strong,PvP,World loot pool, No, Free-to-Play,Season 11,Energy,Special,Arc,No,Top-tier,A › Strong
,Malediction,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,PvP,Playlist: Pursuit, No, Free-to-Play,Season 22,Kinetic,Primary,Kinetic,No,,C › Weak
,Malfeasance,Hand Cannon,Exotic,Exotic,Free-to-Play, Primary, Kinetic,B > Average,PvE,Exotic Quest, No, Free-to-Play,Season 4,Kinetic,Primary,Kinetic,No,,B › Average
,Marcato-45,Machine Gun,Adaptive,Legendary,Free-to-Play, Heavy, Strand,C > Weak,-,World loot pool, No, Free-to-Play,Season 23,Heavy,Heavy,Strand,No,,C › Weak
,Marsilion-C,Grenade Launcher,Rapid-Fire,Legendary,Free-to-Play, Heavy, Solar,A > Strong,PvE,Lost Sector, Yes, Free-to-Play,Season 20,Heavy,Heavy,Solar,Craftable,Top-tier,A › Strong
,Martyr's Retribution,Grenade Launcher,Wave,Legendary,Episode 1: Echoes, Special, Solar,A > Strong,PvE,Dawn Engrams, No, Episode 1: Echoes,The Final Shape,Energy,Special,Solar,No,Top-tier,A › Strong
,Matador 64,Shotgun,Precision,Legendary,30th Anniversary, Special, Arc,S > Best,PvP,Grasp of Avarice Dungeon, No, 30th Anniversary,30th Anniversary event,Energy,Special,Arc,No,Top-tier,S › Best
,Mechabre,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Arc,S > Best,PvP,Event: Festival of the Lost, No, Free-to-Play,Episode 2,Energy,Special,Arc,No,Top-tier,S › Best
,Memory Interdict,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Void,A > Strong,PvP,Xûr, No, Free-to-Play,Season 14,Heavy,Heavy,Void,No,Top-tier,A › Strong
,Merciless,Fusion Rifle,Exotic,Exotic,Free-to-Play, Special, Solar,B > Average,PvE,Exotic Engram, No, Free-to-Play,Season 1,Energy,Special,Solar,No,,B › Average
,Mercurial Overreach,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Arc,S > Best,PvP,Crucible Competitive, No, Free-to-Play,Season 21,Energy,Special,Arc,No,Top-tier,S › Best
,Microcosm,Trace Rifle,Exotic,Exotic,The Final Shape, Heavy, Kinetic,S > Best,PvE,The Pale Heart, No, The Final Shape,The Final Shape,Heavy,Heavy,Kinetic,No,Top-tier,S › Best
,Midha's Reckoning,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Arc,B > Average,PvE + PvP,King's Fall Raid, Yes, Free-to-Play,Season 18,Energy,Special,Arc,Craftable,,B › Average
,Midnight Coup,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,S > Best,PvE,Onslaught Activity, No, Free-to-Play,Into the Light,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Mindbender's Ambition,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Solar,B > Average,PvP,Nightfall: The Ordeals, No, Free-to-Play,Season 18,Energy,Special,Solar,No,,B › Average
,Mirror Imago,Submachine Gun,Adaptive,Legendary,Episode 3: Heretic, Primary, Strand,A > Strong,PvP,Heresy Activities, No, Episode 3: Heretic,Episode 3,Kinetic,Primary,Strand,No,Top-tier,A › Strong
,Mistral Lift,Linear Fusion Rifle,Adaptive,Legendary,Free-to-Play, Heavy, Void,B > Average,PvE,Event: Dawning, No, Free-to-Play,Episode 2,Heavy,Heavy,Void,No,,B › Average
,Mistral Lift,Linear Fusion Rifle,Adaptive,Legendary,Free-to-Play, Heavy, Void,B > Average,PvE,Event: Dawning, No, Free-to-Play,Episode 2,Heavy,Heavy,Void,No,,B › Average
,Monte Carlo,Auto Rifle,Exotic,Exotic,Shadowkeep Pack, Primary, Kinetic,C > Weak,-,Exotic Engram, No, Shadowkeep Pack,Season 8,Kinetic,Primary,Kinetic,No,,C › Weak
,Multimach CCX,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,S > Best,PvE + PvP,Iron Banner, No, Free-to-Play,Season 23,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Mykel's Reverence,Sidearm,Rapid-Fire,Legendary,Lightfall, Primary, Strand,B > Average,PvE,Root of Nightmares Raid, Yes, Lightfall,Season 20,Kinetic,Primary,Strand,Craftable,,B › Average
,Naeem's Lance,Sniper Rifle,Rapid-Fire,Legendary,Lightfall Dungeon Key, Special, Strand,A > Strong,PvE,Warlord's Ruin Dungeon, No, Lightfall Dungeon Key,Season 23,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Nameless Midnight,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE,Playlist: Vanguard, No, Free-to-Play,Season 20,Kinetic,Primary,Kinetic,No,,B › Average
,Nasreddin,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Arc,A > Strong,PvE,Lost Sector, No, Free-to-Play,Season 20,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Nation of Beasts,Hand Cannon,Adaptive,Legendary,Forsaken Pack, Primary, Arc,A > Strong,PvE,Last Wish Raid, Yes, Forsaken Pack,Season 4,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Nature Reclaimed,Scout Rifle,Lightweight,Legendary,Free-to-Play, Primary, Solar,B > Average,PvE + PvP,Iron Banner, No, Free-to-Play,Episode 3,Energy,Primary,Solar,No,,B › Average
,Nature of the Beast,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Arc,D > Worst,-,World loot pool, No, Free-to-Play,Season 11,Energy,Primary,Arc,No,,D › Worst
,Necrochasm,Auto Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,A > Strong,PvE,Crota's End Raid, No, Free-to-Play,Season 22,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Negative Space,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Solar,A > Strong,PvE,World loot pool, No, Free-to-Play,Season 11,Heavy,Heavy,Solar,No,Top-tier,A › Strong
